Game ID,Puzzle Date,Word,Group Name,Group Level,Starting Row,Starting Column
123,2023-10-12,NOSE,THINGS THAT CAN RUN,3,1,1
123,2023-10-12,CROWN,PARTS OF A WATCH,1,1,2
123,2023-10-12,SWORD,WONDER WOMAN’S COSTUME,2,1,3
123,2023-10-12,MASK,CONCEAL,0,1,4
123,2023-10-12,DIAL,PARTS OF A WATCH,1,2,1
123,2023-10-12,FAUCET,THINGS THAT CAN RUN,3,2,2
123,2023-10-12,TIARA,WONDER WOMAN’S COSTUME,2,2,3
123,2023-10-12,HAND,PARTS OF A WATCH,1,2,4
123,2023-10-12,BLOCK,CONCEAL,0,3,1
123,2023-10-12,MASCARA,THINGS THAT CAN RUN,3,3,2
123,2023-10-12,HIDE,CONCEAL,0,3,3
123,2023-10-12,LASSO,WONDER WOMAN’S COSTUME,2,3,4
123,2023-10-12,CANDIDATE,THINGS THAT CAN RUN,3,4,1
123,2023-10-12,SHIELD,WONDER WOMAN’S COSTUME,2,4,2
123,2023-10-12,STRAP,PARTS OF A WATCH,1,4,3
123,2023-10-12,COVER,CONCEAL,0,4,4
124,2023-10-13,LINE,POETRY TERMS,2,1,1
124,2023-10-13,LIMA,BEANS,0,1,2
124,2023-10-13,CREATOR,“THE(E) ___” RAPPERS,3,1,3
124,2023-10-13,LIMERICK,CITIES BEGINNING WITH “L”,1,1,4
124,2023-10-13,LINCOLN,CITIES BEGINNING WITH “L”,1,2,1
124,2023-10-13,RAPPER,“THE(E) ___” RAPPERS,3,2,2
124,2023-10-13,PINTO,BEANS,0,2,3
124,2023-10-13,VERSE,POETRY TERMS,2,2,4
124,2023-10-13,STALLION,“THE(E) ___” RAPPERS,3,3,1
124,2023-10-13,RHYME,POETRY TERMS,2,3,2
124,2023-10-13,LAGOS,CITIES BEGINNING WITH “L”,1,3,3
124,2023-10-13,KIDNEY,BEANS,0,3,4
124,2023-10-13,LUXOR,CITIES BEGINNING WITH “L”,1,4,1
124,2023-10-13,DUDE,“THE(E) ___” RAPPERS,3,4,2
124,2023-10-13,FAVA,BEANS,0,4,3
124,2023-10-13,METER,POETRY TERMS,2,4,4
125,2023-10-14,CRADLE,ROTARY PHONE PARTS,1,1,1
